Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Polizistin/Polizist,21251,30995,1294914,48,29398,0.001,19.383,18557,29558,973815,14505,19965,19313,17072,18180,42,78%,94%,0.126
Kantonspolizei Zürich,18928,65168,5950264,218,51189,0.001,40.986,17895,113703,7637371,7040,10695,15472,14597,8411,91,39%,57%,0.051
Medienmitteilungen,9432,14748,446696,13,12754,0.001,10.61,6196,19848,662114,3016,5745,7585,4562,4429,30,49%,61%,0.088
Aktuell,9181,12782,382416,32,11550,0.001,13.748,7185,19499,589343,3646,5838,7999,6209,5118,30,51%,64%,0.092
Jobs,3698,5367,80246,16,4802,0.001,4.64,1406,7264,288208,71,362,3472,1328,345,15,5%,10%,0.061
Alle offenen Stellen,3238,4517,266806,3,3949,0.001,11.818,917,2235,89632,517,1970,3039,832,1824,59,56%,61%,0.074
Sicherheitsbeauftragte der Flughafenpolizei (SBF),3139,8612,550513,10,7613,0.001,5.791,2124,9008,475925,759,2214,2816,1911,1968,64,36%,71%,0.114
Zürich 1, Hauptbahnhof: Sturz vom Dach fordert Todesopfer,1830,2002,67097,1,1897,0.001,12.488,1130,1335,22873,1032,1345,1781,1109,1308,34,91%,73%,0.151
Verkehrsbussen,1793,2279,149382,17,2156,0.001,12.883,1644,3604,160258,634,1591,1723,1580,1528,66,39%,89%,0.156
Zürich: Vermisst wird Paris Rachel Jennifer,1709,2000,48008,,1909,0.001,8.748,1065,1581,27810,854,1131,1681,1059,1124,24,80%,66%,0.113
Brütten: Mädchen bei Arbeitsunfall gestorben - Zeugenaufruf,1667,1806,71468,1,1702,0.001,5.664,868,1291,74479,770,1119,1578,832,1050,40,89%,67%,0.131
Illnau: Autolenker verursacht Selbstunfall - Zeugenaufruf,1390,2091,90404,1,1816,0.001,20.832,648,990,29596,505,936,1341,624,902,43,78%,67%,0.097
Suche/Archiv (Medienmitteilungen ab 2011),1365,5061,89149,3,4415,0.001,18.029,128,465,10402,71,643,1295,122,604,18,55%,47%,0.98
Kontakt,1354,1772,90865,28,1590,0.001,18.396,494,1364,70113,282,695,1289,472,657,51,57%,51%,0.119
Urdorf: Zwei Männer bei Arbeitsunfall lebensgefährlich verletzt,1314,1529,72219,,1449,0.001,8.913,695,1015,35194,572,859,1210,630,779,47,82%,65%,0.151
Sicherheitsassistenz Grenzkontrolle,1256,3283,99769,3,2848,0.001,4.984,442,1771,68944,183,550,1181,399,501,30,41%,44%,0.164
Sicherheitsassistenz Polizeigefängnis,1240,2980,125362,2,2642,0.001,75.232,560,1936,108090,272,600,1123,471,498,42,49%,48%,0.229
Dietlikon: Velofahrerin nach Verkehrsunfall verstorben - Zeugenaufruf,1205,1694,88994,2,1484,0.001,9.135,444,677,26298,339,765,1162,432,737,53,76%,63%,0.103
Seuzach: Brand eines landwirtschaftlichen Betriebsgebäudes,1192,2809,112594,,2205,0.001,13.426,639,1995,51134,363,887,1120,609,839,40,57%,74%,0.086
Über uns,1083,1579,67432,7,1355,0.001,8.019,99,497,14860,47,288,1054,94,276,43,47%,27%,0.078
Wald: Selbstunfall zieht komplizierte Rettungsaktion nach sich,1068,2609,102546,,1967,0.001,3.658,400,1179,33133,241,635,1015,376,592,39,60%,59%,0.061
Wald: Zwei Verletzte bei Verkehrsunfall - Zeugenaufruf,1068,1540,73532,,1340,0.001,2.642,419,649,23072,320,714,995,389,660,48,76%,67%,0.084
Vermisste Personen,1059,1619,70188,7,1368,0.001,4.718,432,1335,49486,196,431,1012,400,397,43,45%,41%,0.117
Online-Polizeiposten,1026,1237,77722,24,1131,0.001,180.534,533,1331,55614,178,574,1003,523,562,63,33%,56%,0.283
Pfäffikon: Bewaffneter Raubüberfall - Zeugenaufruf,1026,1172,43568,,1115,0.001,8.513,557,721,22878,486,682,979,528,650,37,87%,66%,0.117
Zivile Anstellungen,954,1235,69653,3,1096,0.001,7.23,193,588,20763,86,382,939,191,377,56,45%,40%,0.107
Gossau: Verkehrsunfall fordert Schwerverletzten,928,2159,68589,,1591,0.001,16.95,334,834,18157,210,458,903,324,443,32,63%,49%,0.108
Wallisellen: Vermisstmeldung – Peter BERTA,840,1042,35859,1,904,0.001,4.737,328,429,9647,284,516,801,320,493,34,87%,61%,0.098
Wädenswil sowie Autobahn A3 Richterswil - Lachen - Horgen: Personenwagenlenker verursacht mehrere Kollisionen - Zeugenaufruf,813,897,28134,,855,0.001,2.673,358,424,5043,330,489,801,354,481,31,92%,60%,0.086
Volketswil: Verkehrsunfall fordert Verletzten - Zeugenaufruf,745,981,33909,,884,0.001,6.941,382,517,9019,329,529,732,377,522,35,86%,71%,0.13
Dübendorf: Revokation Vermisstmeldung,710,854,18288,1,774,0.001,2.174,145,395,5459,82,257,702,145,255,21,57%,36%,0.08
Hinwil: Falschfahrer im Betzholzkreisel gestoppt,710,774,29688,,738,0.001,6.573,212,297,9251,186,355,702,211,350,38,88%,50%,0.108
Bahnhof Oberglatt: Verwirrter Mann verursacht Nothalt der S9,703,795,30423,,751,0.001,17.214,316,350,4863,293,416,696,311,410,38,93%,59%,0.131
Zürich: Revokation Vermisstmeldung,668,752,13210,,687,0.001,2.744,124,234,4133,81,227,661,124,227,18,65%,34%,0.086
Wädenswil: Selbstunfall mit Personenwagen,666,1312,43157,,1029,0.001,10.26,191,375,8328,119,327,645,184,313,33,62%,49%,0.111
Herrliberg: Vermisstmeldung,630,708,17870,,637,0.001,2.298,196,290,5199,157,242,626,195,240,25,80%,38%,0.115
Flughafenpolizei,613,831,36000,9,733,0.001,5.167,374,1419,54126,169,298,590,359,287,43,45%,49%,0.302
Otelfingen: Fussgängerin nach Verkehrsunfall verstorben,603,718,22485,,677,0.001,1.432,136,173,4975,118,292,592,136,288,31,87%,48%,0.07
Standorte,595,906,23816,5,782,0.001,4.779,85,387,15774,29,133,579,84,130,26,34%,22%,0.128
Oberrieden: Schwerverletzter nach Arbeitsunfall,571,646,29809,1,596,0.001,7.8,153,227,5909,122,253,563,153,250,46,80%,44%,0.125
Mettmenstetten: Geschwindigkeitskontrolle - Schnellfahrer gestoppt,568,678,21759,,633,0.001,1.182,196,258,1652,175,329,564,196,327,32,89%,58%,0.074
Herrliberg: Revokation Vermisstmeldung,558,645,11494,,594,0.001,2.054,66,119,1929,43,163,554,64,160,18,65%,29%,0.094
Gesuchte Straftäter,555,719,21690,5,623,0.001,5.296,6,12,2037,3,127,548,6,126,30,50%,23%,0.182
Kriminalmuseum,554,687,47483,4,612,0.001,2.976,471,893,48354,295,462,533,453,443,69,63%,83%,0.116
Kriminalpolizei,550,827,43042,10,744,0.001,4.993,283,913,38440,116,209,513,251,203,52,41%,38%,0.254
Andere,547,625,26480,11,574,0.001,12.575,283,533,17401,222,294,519,265,278,42,78%,54%,0.706
Bezirk Andelfingen: Mutmassliche Drogenhändler verhaftet,546,793,43691,,673,0.001,3.495,148,235,16155,100,250,523,128,227,55,68%,46%,0.137
Zollikon: Verkehrsunfall fordert verletzten Motorradfahrer - Zeugenaufruf,545,779,28193,,637,0.001,2.752,122,174,1974,95,290,530,118,281,36,78%,53%,0.108
Waffen,538,688,67458,12,621,0.001,16.385,439,960,58478,256,442,516,424,426,98,58%,82%,0.209
Fragen & Antworten,518,681,11081,3,586,0.001,5.326,27,60,3257,14,51,509,26,47,16,52%,10%,0.171
Hombrechtikon: Motorradfahrer bei Selbstunfall verletzt - Zeugenaufruf,464,721,31267,,585,0.001,3.677,65,99,4189,45,232,448,62,220,43,69%,50%,0.074
Stützpunkte der Verkehrspolizei,463,617,33263,4,559,0.001,4.956,216,537,21319,121,239,442,202,228,54,56%,52%,0.375
Bezirk Zürich,454,700,36659,7,632,0.001,5.179,244,729,29672,132,279,419,224,254,52,54%,61%,0.296
Prävention,452,643,20691,2,552,0.001,1.769,80,321,10172,39,102,442,77,96,32,49%,23%,0.126
Erlebnisse,450,922,26621,2,798,0.001,3.57,42,104,9865,23,138,437,41,132,29,55%,31%,0.283
Zeugenaufrufe,422,551,16383,1,475,0.001,40.254,30,149,3601,12,103,413,28,100,30,40%,24%,0.296
Organisation,382,608,10529,3,502,0.001,1.749,36,243,8439,9,43,377,36,43,17,25%,11%,0.135
Bezirk Bülach,374,626,33208,5,552,0.001,8.677,273,729,34123,148,258,351,254,238,53,54%,69%,0.44
Bezirk Winterthur,357,600,30351,9,554,0.001,11.789,263,767,31726,131,256,336,245,236,51,50%,72%,0.383
Kontaktformular Kantonspolizei Zürich,350,525,60481,,451,0.001,22.338,46,110,6789,24,129,333,43,121,115,52%,37%,0.462
Dokument nicht auffindbar (Error 404),346,498,15189,,482,0.001,1.667,276,1028,50244,129,187,335,268,181,31,47%,54%,0.084
Lehrstellen,346,424,11289,1,366,0.001,3.408,47,93,3315,27,91,340,45,88,27,57%,26%,0.256
Opfikon: Fussgängerin bei Verkehrsunfall schwer verletzt - Zeugenaufruf,343,391,16248,,349,0.001,2.434,79,129,5719,55,134,329,77,128,42,70%,39%,0.16
Uster: Mutmassliche Einbrecherinnen verhaftet,329,370,12419,,346,0.001,2.543,87,114,3523,77,145,327,87,143,34,89%,44%,0.137
Verkehrspolizei,318,542,23479,8,460,0.001,32.158,72,250,13411,29,87,315,71,86,43,40%,27%,0.277
Kontaktformular Personalgewinnung,316,379,35672,2,339,0.001,15.727,28,93,5906,14,73,303,25,68,94,50%,23%,0.372
Aktuelle Fragen,307,472,13334,3,374,0.001,2.514,14,27,2145,10,53,302,13,52,28,71%,17%,0.182
Cybercrime,304,384,36761,10,361,0.001,6.836,215,470,28113,124,229,286,202,215,96,58%,75%,0.121
Seepolizei,285,469,19314,5,402,0.001,48.208,196,666,24897,89,166,276,189,160,41,45%,58%,0.364
Dübendorf: Kollision fordert schwer verletzten Motorradfahrer - Zeugenaufruf,278,395,12021,,323,0.001,1.818,49,87,1175,36,112,270,47,109,30,73%,40%,0.123
Unser Dienst,278,747,23841,9,633,0.001,32.268,165,543,20316,87,161,269,158,155,32,53%,58%,0.439
Informationsbroschüren,275,338,30451,1,295,0.001,2.235,21,63,1502,12,118,265,20,112,90,57%,43%,0.33
Medien,266,328,23429,3,309,0.001,7.07,97,323,10868,48,137,255,91,130,71,49%,52%,0.32
Private Ausnahmetransportbegleiter,257,669,63600,16,552,0.001,2.072,207,1044,67235,51,211,234,187,190,95,25%,82%,0.223
Sicherheitspolizei,248,373,14451,2,321,0.001,2.297,46,198,7036,19,58,244,44,56,39,41%,23%,0.241
Kommandant Thomas Würgler,247,391,17280,2,329,0.001,4.308,43,185,10485,19,56,243,43,56,44,44%,23%,0.249
Bezirk Uster,246,411,16583,6,372,0.001,2.736,168,509,14914,93,170,230,153,156,40,55%,69%,0.409
Bestätigung,241,256,8220,1,231,0.001,10.991,25,39,1866,21,191,229,23,180,32,84%,79%,0.928
Wichtige Punkte zum sicheren Radwechsel,237,271,11063,,266,0.002,6.482,212,242,5572,197,210,237,212,210,41,93%,89%,0.157
Bezirk Dielsdorf,228,410,19150,3,378,0.001,9.176,173,509,20412,96,168,213,162,155,47,55%,74%,0.493
Fachstellen und -bereiche,223,302,6862,4,267,0.001,2.635,5,29,925,1,13,222,5,12,23,20%,6%,0.185
Aktuelles der Prävention,221,336,24141,2,279,0.001,1.909,68,249,21863,33,80,218,68,79,72,49%,36%,0.116
IST - Interventionsstelle gegen Häusliche Gewalt,221,289,12235,3,254,0.001,4.034,168,496,23471,101,128,200,150,119,42,60%,58%,0.154
Wallisellen: Vermisstmeldung,213,271,6217,,240,0.001,2.224,58,234,6257,27,73,205,54,70,23,47%,34%,0.19
Sturmwarnung,210,287,3258,1,266,0.001,3.077,103,246,4975,39,127,199,92,117,11,38%,60%,0.175
Bezirk Dietikon,205,332,14447,5,307,0.001,5.867,150,438,14629,79,147,194,143,139,44,53%,72%,0.497
Bezirk Hinwil,203,343,13115,3,301,0.001,3.631,139,359,11963,69,132,195,136,128,38,50%,65%,0.376
Kommandobereich 1,203,240,6776,4,219,0.001,5.135,14,58,2675,8,23,202,14,23,28,57%,11%,0.329
Bezirk Pfäffikon,197,343,18673,6,325,0.001,3.762,140,420,19886,69,130,189,132,122,54,49%,66%,0.365
Linksammlung,197,261,3343,2,219,0.001,1.67,3,4,119,2,21,194,2,19,13,67%,11%,0.17
Videoüberwachung im öffentlichen Raum,193,218,5218,,191,0.001,2.157,1,1,0,1,29,193,1,29,24,100%,15%,0.264
Watt: Raub auf Lebensmittelladen - Zeugenaufruf,192,218,6376,,209,0.001,15.045,51,67,1305,44,72,190,51,71,29,86%,38%,0.215
Kriminalstatistik,189,254,25671,6,228,0.001,4.17,165,428,23962,57,167,185,162,164,101,35%,88%,0.345
Regionalpolizei,183,229,12894,,185,0.001,5.187,21,73,4238,10,38,179,21,36,56,48%,21%,0.299
Kriminalität,173,209,11170,2,188,0.001,7.107,4,10,1183,2,26,173,4,26,53,50%,15%,0.412
Sicherheitsberatungen – Vorkehrungen und Verhaltensregeln,171,243,10125,3,211,0.001,6.996,68,222,8323,37,73,166,63,68,42,54%,43%,0.327
Gewaltschutz,164,217,18046,,189,0.001,3.628,102,276,20996,60,111,158,97,105,83,59%,68%,0.272
Bezirk Horgen,162,255,11912,5,227,0.001,2.499,120,348,10761,51,116,156,114,111,47,43%,72%,0.421
Bezirk Affoltern,161,256,16101,2,225,0.001,9.158,118,266,11442,65,106,156,113,102,63,55%,66%,0.522
Fussgängerkampagne „Senioren im Strassenverkehr“,161,187,6974,,174,0.001,1.916,15,21,68,13,59,159,14,59,37,87%,37%,0.12
Zahlen & Fakten,160,221,20802,1,177,0.001,2.946,30,99,5304,12,67,156,30,67,94,40%,42%,0.33
Bilder von der Polizeiarbeit,159,196,6914,,177,0.001,8.138,7,21,299,3,42,157,7,42,35,43%,26%,1.491
Allgemein Kantonspolizei,155,186,9677,3,160,0.001,4.716,18,45,5976,6,40,138,7,29,52,33%,26%,0.288
Herrliberg: Vermisstmeldung - Werner PETER,155,178,12520,,166,0.001,1.314,124,176,7014,114,135,154,123,135,70,92%,87%,0.14
Bezirk Meilen,154,239,13759,3,215,0.001,2.694,111,251,6123,64,105,145,103,97,58,58%,68%,0.344
Opfikon: Fussgänger bei Verkehrsunfall schwer verletzt - Zeugenaufruf,154,195,7542,,148,0.001,2.837,30,63,3144,18,52,142,25,46,39,60%,34%,0.274
Strassenverkehr,154,229,13383,3,202,0.001,3.526,34,73,1178,20,65,148,33,61,58,59%,42%,0.272
Geschwindigkeit,148,183,13898,5,168,0.001,3.774,42,95,3685,19,83,144,42,81,76,45%,56%,0.318
Führungen bei der Kantonspolizei,145,215,3203,,166,0.001,1.713,24,140,5924,1,21,142,24,21,15,4%,14%,0.173
Zielgruppen,142,262,17163,3,244,0.001,3.67,101,285,13911,45,114,132,93,104,66,45%,80%,0.466
Aktuelle Fahndungen,137,200,5950,4,190,0.001,7.145,117,539,12976,45,72,134,114,72,30,38%,53%,0.497
Jugendintervention,136,188,8656,2,153,0.001,2.012,57,205,6868,25,45,131,53,42,46,44%,33%,0.056
Kommandobereich 2,135,153,4172,,136,0.001,6.269,1,1,0,1,10,135,1,10,27,100%,7%,0.343
Verkehrsleitzentrale,126,173,10166,,138,0.001,1.594,47,135,5397,24,45,119,44,43,59,51%,36%,0.222
Herrliberg: Vermisstmeldung - Werner Willi PETER,123,138,3847,,130,0.002,0.709,85,101,1723,74,103,120,83,101,28,87%,84%,0.106
Bezirk Andelfingen,122,185,3817,1,173,0.001,4.36,92,219,4516,47,85,112,84,76,21,51%,70%,0.43
Wir gehen gegen Gewalttäter vor,121,141,7260,,131,0.001,1.869,33,66,1394,28,47,120,33,47,51,85%,39%,0.126
Bewilligungen/Gesuche,119,154,8072,8,133,0.001,4.414,27,112,6660,9,40,118,27,40,52,33%,34%,0.358
Tötungsdelikt in Zürich-West vom 20. März 2010 - Belohnung ausgesetzt - Zeugenaufruf,109,132,6139,,125,0.001,2.213,86,210,4352,54,78,109,86,78,47,63%,72%,0.197
Kommunikationsabteilung,108,137,5153,1,123,0.001,2.058,19,61,2265,7,20,106,19,19,38,37%,19%,0.318
Kinder- und Jugendinstruktion,106,139,2596,,124,0.001,2.209,43,251,7279,20,31,104,41,31,19,47%,29%,0.164
Weiningen: Vermisstmeldung - Willi Müller,104,115,3440,,102,0.001,1.989,3,3,0,3,27,104,3,27,30,100%,26%,0.52
Page Name not defined,102,238,0,,0,,0,,,,,,102,,,0,0%,0%,0
Schwerpunkte,102,159,12872,5,132,0.001,7.057,47,95,2379,35,60,98,44,57,81,74%,59%,0.461
Fachstelle Häusliche Gewalt,100,111,8192,1,99,0.001,1.798,57,127,5337,37,59,97,55,57,74,65%,59%,0.249
Für die Sicherheit auf Zürcher Autobahnen,99,107,4615,,103,0.001,1.065,40,43,1089,38,62,97,40,60,43,95%,63%,0.115
Gesuch Akteneinsicht in Polizeirapporte,97,138,11048,5,123,0.001,14.943,77,203,11762,49,67,95,75,65,80,64%,69%,0.502
Dübendorf: Vermisst wird Jürg Spycher,95,112,2422,,100,0.001,2.998,10,24,635,4,24,95,10,24,22,40%,25%,0.524
Fremde Autos auf dem Privatparkplatz?,94,102,5779,,97,0.002,2.665,93,141,6987,61,90,88,87,84,57,66%,96%,0.497
Kontaktanfrage Verkehrsbussen,92,139,15055,,115,0.001,2.25,12,41,2729,4,31,89,12,29,108,33%,34%,0.419
Präventionsabteilung,92,114,3815,4,99,0.001,1.878,12,42,322,6,21,92,12,21,33,50%,23%,0.275
Stalking,92,112,6311,,105,0.001,10.665,81,162,6674,36,74,90,79,73,56,44%,80%,0.495
Weitere Informationen,92,397,14624,6,301,0.001,65.532,49,83,4051,29,59,86,45,54,37,59%,64%,0.373
Forensisches Institut Zürich,89,113,9120,1,102,0.001,2.032,35,92,4947,14,54,88,34,53,81,40%,61%,0.31
Oberglatt: Tote identifiziert - Revokation Vermisstmeldung,82,86,1282,,80,0.001,2.517,4,8,77,3,17,81,4,17,15,75%,21%,0.398
Verkehrsprävention,79,135,8061,3,117,0.001,41.636,42,109,4283,20,49,78,42,49,60,48%,62%,0.697
Eisbulletin,77,87,1929,,76,0.001,1.879,3,3,0,3,13,77,3,13,22,100%,17%,0.327
Hochfelden: 10‘000 Franken Belohnung in der Vermisstensache Mei HAN FORSTER,77,83,1970,,77,0.002,8.97,3,3,0,3,19,75,3,18,24,100%,25%,0.638
Unsere Angebote,77,100,2327,,82,0.001,1.848,4,13,227,2,4,77,4,4,23,50%,5%,0.248
Social Media,76,93,10095,,88,0.001,6.881,20,58,1182,9,33,74,20,33,109,45%,43%,0.476
Betrug,71,75,3155,,72,0.002,1.89,39,77,3451,22,39,71,39,39,42,56%,55%,0.346
Broschüren,71,95,3758,12,80,0.002,6.943,10,30,489,3,31,71,10,31,40,30%,44%,0.523
Feedback FP,70,101,11123,,83,0.001,4.698,12,35,5321,6,22,66,12,21,110,50%,31%,0.614
Fachstelle Brückenbauer (Interkulturelles Netzwerk),67,95,14286,1,84,0.001,1.774,36,58,8366,25,44,54,25,31,150,69%,66%,0.211
Schifffahrt/Gewässer,67,81,6879,2,77,0.001,5.115,49,78,6477,31,51,64,46,49,85,63%,76%,0.464
Polizeistellen,66,81,2056,2,67,0.001,2.849,5,30,1167,1,18,65,5,18,25,20%,27%,0.215
Affoltern am Albis: Motorradlenker verletzt - Zeugenaufruf,65,88,1420,,57,0.002,4.365,18,50,468,13,25,57,16,22,16,72%,38%,0.457
KAPO ZH - Eine Applikation für mobile Geräte,62,71,3912,,65,0.001,2.486,20,38,1750,12,29,61,19,28,55,60%,47%,0.383
Bauma: Vermisstmeldung Natalija Osmajlic,61,64,2507,,58,0.001,3.303,,,,,10,61,,10,39,0%,16%,0.53
Amtsstellen/Organisationen,58,68,2224,3,62,0.001,2.339,1,1,0,1,9,58,1,9,33,100%,16%,0.241
Gesetze/Verordnungen,57,84,7378,4,68,0.002,4.158,25,75,4469,7,33,56,24,32,88,28%,58%,0.356
IRE - Interventionsstelle gegen Radikalisierung und gewalttätigen Extremismus,55,67,8572,,58,0.001,2.548,36,72,6746,24,35,53,34,33,128,67%,64%,0.438
Adressen und Links,54,128,5879,2,113,0.001,4.713,15,27,383,8,30,51,15,29,46,53%,56%,0.239
Oberglatt: Tote Person gefunden,52,62,1639,,53,0.002,1.622,7,15,247,5,12,51,7,12,26,71%,23%,0.365
Kontaktanfrage Verkehrspolizei,49,63,8509,1,57,0.001,2.746,1,2,3,0,10,48,1,10,135,0%,20%,0.531
Laserpointer,49,57,2488,,56,0.001,1.753,39,48,2233,33,39,38,28,28,44,85%,80%,0.282
Schusswaffen,49,60,1889,2,55,0.001,1.989,16,31,2662,9,26,47,16,24,31,56%,53%,0.233
Bauma: Unfall fordert schwerverletzte Frau,47,59,913,,38,0.001,1.659,8,17,218,6,9,42,8,9,15,75%,19%,0.588
Kinder im Strassenverkehr,47,55,3389,,55,0.002,1.911,36,49,1730,28,40,47,36,40,62,78%,85%,0.391
Luftverkehr,47,55,2828,1,46,0.001,1.686,9,13,618,7,12,47,9,12,51,78%,26%,0.278
Verfahren zur Identifikation von Fahrunfähigkeit,46,62,2915,,52,0.002,3.413,21,51,2567,14,25,42,20,24,47,67%,54%,0.506
Verkehrsunfallstatistik,46,73,10173,2,58,0.001,5.288,30,72,5755,12,32,44,29,30,139,40%,70%,0.429
