Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Birmensdorf: Vermisstmeldung Dolma Tsering SHRESTHA BHUTIA,45,45,797,,38,0.002,5.774,,,,,10,45,,10,18,0%,22%,0.695
Wallisellen: Raub auf Shop - Zeugenaufruf,45,59,2800,,57,0.001,1.894,11,17,183,10,15,44,10,15,47,91%,33%,0.502
Winterthur: Frau nach Streit schwer verletzt - mutmasslicher Täter verhaftet,43,48,1604,,42,0.001,2.542,7,12,122,5,8,41,6,8,33,71%,19%,0.587
Bei Verdacht Tel. 117 – Gemeinsam gegen Einbrecher,42,55,4422,3,50,0.001,5.053,34,62,4207,24,35,39,31,32,80,71%,83%,0.782
Waffen jederzeit freiwillig abgeben,41,53,3532,2,49,0.001,1.282,31,56,1192,19,26,41,31,26,67,61%,63%,0.253
Zürich: Vermisst wird Heidi Kerber,41,47,742,,44,0.001,2.036,3,10,106,2,4,41,3,4,16,67%,10%,0.381
Einbruch,40,46,1177,1,43,0.001,1.812,16,35,2289,10,12,40,16,12,26,63%,30%,0.512
Zürich 4: Ein Schwerverletzter nach Auseinandersetzung - Nachtrag,40,57,1107,,48,0.001,1.881,,,,,7,40,,7,19,0%,18%,0.409
Fachdienst Menschenhandel,39,43,2482,,41,0.003,1.838,13,15,21,12,18,33,8,14,58,92%,46%,0.382
Verkehr,39,55,1151,1,51,0.001,2.195,,,,,3,38,,2,21,0%,8%,0.229
Bülach: Raubüberfall im Bahnhof,37,42,1459,,40,0.001,3.474,2,2,0,2,5,37,2,5,35,100%,14%,0.698
Medienangebote,37,44,596,,39,0.002,1.597,1,2,12,0,5,36,1,5,14,0%,14%,0.473
Hilfe und Beratung,36,94,4290,,70,0.001,4.522,1,1,0,1,5,35,1,5,46,100%,14%,0.394
Oberglatt: Vermisstmeldung,36,40,915,,36,0.002,2.112,5,8,1893,3,9,35,5,8,23,60%,25%,0.447
Vereidigung der Aspirantinnen und Aspiranten der Kantonspolizei Zürich,35,59,4989,2,53,0.003,1.844,25,75,6125,12,23,34,24,22,85,48%,66%,0.576
Informationsveranstaltungen für Bewerberinnen und Bewerber,34,40,1071,,39,0.005,4.464,23,100,10278,1,2,31,22,2,27,4%,6%,0.642
Zürich: Vermisst wird Angela Yanez Iza,34,50,1399,,38,0.001,1.772,,,,,5,34,,5,28,0%,15%,0.232
Jugend & Gesetz,33,47,1370,,43,0.002,2.272,16,26,863,11,19,33,16,19,29,69%,58%,0.452
Neftenbach: Fussgängerin nach Verkehrsunfall verstorben,32,33,1065,,31,0.001,1.388,7,8,3,6,14,30,7,12,32,86%,44%,0.379
Vorausschauende Polizeiarbeit,32,39,905,1,36,0.002,3.222,4,7,218,2,4,32,4,4,23,50%,13%,0.415
Adlikon b. Andelfingen: Polizei sucht Tankstellenräuber – Zeugenaufruf,31,32,350,,31,0.001,2.838,20,26,200,16,26,31,20,26,11,80%,84%,0.255
Kontaktanfrage Kriminalpolizei,31,49,5927,,46,0.001,1.564,5,21,262,1,5,28,4,5,121,20%,16%,0.551
Polizei ganz nah – Ein Blick in unseren Alltag,30,36,927,1,32,0.004,1.924,20,33,848,13,20,30,20,20,26,65%,67%,0.622
Stammhaus,30,35,537,1,29,0.001,1.944,6,14,445,4,6,29,6,6,15,67%,20%,0.561
Flyer - Stopp Häusliche Gewalt,29,35,3593,,31,0.001,1.786,3,6,17,1,14,28,3,13,103,33%,48%,0.414
Fünf Stufen bis zur Anstellung,29,37,2240,,29,0.002,1.624,,,,,6,29,,6,61,0%,21%,0.369
Lindau: Ein Toter bei Verkehrsunfall - Zeugenaufruf,29,34,1296,,32,0.001,2.056,12,21,814,8,16,28,12,15,38,67%,55%,0.559
Suche/Archiv (Aktuelle Fragen ab 2017),29,68,1267,4,59,0.001,2.821,,,,,2,29,,2,19,0%,7%,0.336
Kontaktanfrage Führungen Verkehrsleitzentrale,28,41,2347,,36,0.001,1.552,,,,,5,27,,5,57,0%,18%,0.35
Senioren im Strassenverkehr,28,33,1431,,29,0.001,1.863,6,24,457,2,6,28,6,6,43,33%,21%,0.321
Umgang mit E-Bikes,27,32,1138,,27,0.001,3.348,17,34,539,7,20,27,17,20,36,41%,74%,0.577
App «Auf Kurs»,26,32,1309,,29,0.001,20.397,3,3,0,3,11,25,3,11,41,100%,42%,0.942
Kontaktanfrage Sicherheitsberatung,26,38,5322,3,34,0.003,1.618,2,11,1706,1,8,26,2,8,140,50%,31%,0.391
Zürich-Wollishofen: Polizei sucht Bankräuber - Zeugenaufruf,26,31,2784,,30,0.006,1.701,13,32,509,8,15,26,13,15,90,62%,58%,0.364
A1 Illnau-Effretikon: Raser verursacht Verkehrsunfall - Zeugenaufruf,25,27,132,,27,0.005,1.226,23,32,202,18,22,25,23,22,5,78%,88%,0.328
Factsheets,25,33,3177,6,27,0.002,1.583,11,29,1644,3,17,24,11,16,96,27%,68%,0.276
Präventionsmobil,25,29,727,,28,0.001,1.491,2,2,0,2,7,25,2,7,25,100%,28%,0.308
Uerikon: Vermisst wird Manuel DENNIS,25,27,641,,25,0.002,1.373,2,2,0,2,3,25,2,3,24,100%,12%,0.364
Verhalten am Fussgängerstreifen,25,28,2632,,28,0.001,2.115,20,34,2694,14,20,25,20,20,94,70%,80%,0.52
Meilen: Arbeitsunfall fordert zwei Verletzte,24,25,881,,24,0.001,1.874,14,18,491,12,15,21,12,13,35,86%,63%,0.372
Such- und Rettungsdienst der Luftfahrt,24,27,3290,,25,0.003,2.295,11,16,269,9,11,24,11,11,122,82%,46%,0.557
Aufgaben der Kriminalpolizei,23,29,1912,,27,0.001,2.443,17,46,3408,11,17,23,17,17,66,65%,74%,0.869
Flughafen-Zürich: Carkontrolle,23,24,905,,24,0.002,1.26,3,12,1243,0,5,23,3,5,38,0%,22%,0.371
Freiwillige Rückgabe von Waffen und Munition im Kanton Zürich,23,37,2152,,35,0.001,2.073,19,116,3856,12,16,23,19,16,58,63%,70%,0.379
Horgen A3: Unfall mit Motorrad fordert schwer Verletzten,23,31,2158,,29,0.001,1.678,1,7,77,0,6,23,1,6,70,0%,26%,0.339
Kriminalprävention,23,31,1634,,29,0.002,1.352,8,29,689,3,11,22,7,10,53,38%,48%,0.291
Zürich: Vermisst wird ein Mädchen,23,29,243,,27,0.001,0.334,3,3,0,3,7,23,3,7,8,100%,30%,0.028
Kontaktanfrage Kriminalmuseum,22,28,3072,1,23,0.001,3.66,,,,,3,21,,3,110,0%,14%,0.425
Pfäffikon: Vermisstmeldung Paul Burri,22,23,698,,21,0.002,1.651,2,3,9,1,2,21,2,2,30,50%,9%,0.627
Graffiti,21,29,1717,1,24,0.001,2.126,14,27,648,11,12,21,14,12,59,79%,57%,0.293
Verbände/Vereine,21,26,1551,4,25,0.002,1.523,7,16,141,2,8,20,6,7,60,29%,38%,0.455
Weiningen: Vermisstmeldung Roland Hirsbrunner,21,22,585,,21,0.001,1.997,1,1,0,1,1,21,1,1,27,100%,5%,0.519
Forschung & Entwicklung,20,31,1518,,25,0.002,1.606,4,11,806,3,7,20,4,7,49,75%,35%,0.382
Jahresbericht 2017 – Das FOR stellt sich vor,20,25,4086,,22,0.002,1.777,1,29,1097,0,6,20,1,6,163,0%,30%,0.538
Baltenswil: Toter neben Auto bei Ausfahrt Raststätte Baltenswil-Nord aufgefunden,19,23,1602,1,23,0.001,1.879,3,6,111,1,5,19,3,5,70,33%,26%,0.428
Dietikon: Einbrecher in flagranti verhaftet,18,18,1279,,16,0.002,2.296,2,2,0,2,3,18,2,3,71,100%,17%,0.619
"Internationale Aktion gegen ""Money Mules"",18,18,243,1,18,0.004,1.561,14,16,15,13,16,18,14,16,14,93%,89%,0.294"
Qualitäts-/Umweltmanagement,18,18,936,,15,0.01,1.323,2,4,585,1,4,18,2,4,52,50%,22%,0.479
Rechtshinweise,18,22,1242,,21,0.004,1.802,6,9,154,4,12,16,5,11,56,67%,67%,0.693
Deutsch,17,25,189,1,25,0.006,1.243,,,,,2,17,,2,8,0%,12%,0.435
Kanton Zürich: Warnung - Anrufe von falschen Polizisten,17,24,975,,24,0.001,1.513,15,39,1338,10,14,17,15,14,41,67%,82%,0.542
Bezirk Zürich: Ermittlungsverfahren gegen Einbrecher abgeschlossen,16,22,622,,22,0.004,1.72,11,17,447,9,11,14,9,9,28,82%,69%,0.292
Diebstahl,16,22,864,3,20,0.001,1.721,1,1,0,1,3,16,1,3,39,100%,19%,0.317
Die Polizeikorps der Kantone sind bei Cybercrime gefordert,16,16,1017,,16,0.011,1.463,9,17,587,6,6,16,9,6,64,67%,38%,0.448
Drogen,16,20,192,,20,0.001,1.191,9,42,3775,2,2,16,9,2,10,22%,13%,0.17
Kantonale Führungsorganisation,16,17,466,,15,0.002,1.772,1,2,5,0,2,16,1,2,27,0%,13%,0.507
Bau einer neuen Ausbildungsanlage in Regensdorf,15,24,1652,2,21,0.004,1.732,14,34,1828,8,14,15,14,14,69,57%,93%,0.496
Dokument nicht auffindbar (Error 403),15,27,472,,27,0.001,0.112,6,29,822,2,2,15,6,2,17,33%,13%,0.038
Kantonspolizei,15,20,1843,2,20,0.002,0.923,7,22,1063,2,6,14,6,6,92,29%,40%,0.186
Kontaktanfrage Jugendintervention,15,18,499,,16,0.002,3.447,,,,,1,15,,1,28,0%,7%,0.5
Bülach: Brandstiftung - Zeugenaufruf,14,15,315,,15,0.002,2.669,,,,,1,14,,1,21,0%,7%,0.773
Bülach: Hoher Sachschaden bei Hausbrand,14,22,1030,,21,0.002,1.599,9,22,160,5,11,12,8,9,47,56%,79%,0.454
https:/www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist.html,14,14,0,,14,1.209,13.613,14,14,0,14,14,14,14,14,0,100%,100%,3.574
Kontaktanfrage Seepolizei,14,20,3774,,17,0.001,2.134,,,,,4,14,,4,189,0%,29%,0.507
Plakate,14,15,432,,13,0.003,2.084,3,4,6,2,8,14,3,8,29,67%,57%,0.603
Schreiben, was ist,14,17,1437,,14,0.002,1.766,1,1,0,1,4,14,1,4,85,100%,29%,0.736
Bezirke Bülach und Uster: Sieben Verhaftungen bei Club-Kontrollen,13,14,973,,13,0.005,2.187,1,2,262,0,2,13,1,2,70,0%,15%,0.98
Kantonspolizei Zürich stellt neuen Helikopter vor,13,21,289,,14,0.001,2.093,11,34,286,7,11,12,10,10,14,64%,85%,0.842
Schnelltest zur Cannabis-Typisierung – Versuchsphase abgeschlossen,13,16,255,,16,0.003,2.089,13,19,301,11,13,12,12,12,16,85%,100%,0.749
Wernetshausen (Hinwil): Auto gegen Hausmauer,13,30,515,,30,0.001,0.826,5,19,203,2,13,12,5,12,17,40%,100%,0.219
Zürich 1: Vermisstmeldung Valeriy Verso,13,14,270,,14,0.002,1.636,,,,,,13,,,19,0%,0%,0.433
Kontaktanfrage Regionalpolizei,12,19,1468,,10,0.005,2.42,,,,,2,12,,2,77,0%,17%,0.829
"Telefonbetrug: ""Spoofing"" – neue Tätermasche,12,12,1660,,12,0.002,1.683,2,12,149,1,4,12,2,4,138,50%,33%,0.693"
Geschäftsbericht 2017 veröffentlicht,11,12,1937,1,11,0.004,1.831,8,41,3883,2,6,11,8,6,161,25%,55%,0.38
Kontaktformulare,11,15,1725,2,14,0.002,0.791,,,,,2,11,,2,115,0%,18%,0.156
Madetswil: Scheunenbrand,11,17,1164,,15,0.013,1.881,9,17,506,6,8,11,9,8,68,67%,73%,0.514
Schlieren: Einbrecher in flagranti verhaftet,11,11,393,,11,0.046,2.76,3,3,0,3,3,11,3,3,36,100%,27%,0.984
Uster: Mutmasslicher Betäubungsmittelhändler verhaftet,11,12,1338,,11,0.003,1.314,2,2,0,2,3,11,2,3,112,100%,27%,0.522
Zwei Transportfahrzeuge für die Kantonspolizei Zürich,11,12,1249,,11,0.004,1.749,10,17,1858,7,9,11,10,9,104,70%,82%,0.839
Aeugstertal: Motorradfahrer bei Grosskontrolle verhaftet,10,10,414,,10,0.644,1.302,1,1,0,1,2,10,1,2,41,100%,20%,0.804
Alle Beiträge 2018,10,16,400,,14,0.002,2.472,,,,,2,10,,2,25,0%,20%,0.546
Bestätigung Sicherheitsberatung,10,10,30,1,9,0.005,1.359,1,1,0,1,8,8,1,6,3,100%,80%,0.874
Betrugsfälle im Internet – auch Postsendungen sind betroffen,10,11,1063,,9,0.004,1.696,6,9,668,5,7,10,6,7,97,83%,70%,0.586
Datenarchiv,10,17,462,2,12,0.002,1.675,1,1,0,1,2,10,1,2,27,100%,20%,0.435
Dietikon: Grosser Sachschaden bei Verkehrsunfall - Zeugenaufruf,10,12,386,,9,0.003,1.415,1,1,0,1,3,10,1,3,32,100%,30%,0.569
Dübendorf: Einweihungsfeier des Diensthundezentrums Dübendorf mit Tag der offenen Türe,10,16,1374,,14,0.001,3.005,7,37,388,5,8,10,7,8,86,71%,80%,0.654
Es ist ein Fehler aufgetreten,10,15,379,,13,0.027,1.753,1,4,5,0,2,9,1,2,25,0%,20%,0.866
Grüningen: Autofahrer nach Selbstunfall verhaftet,10,13,321,,12,0.001,1.544,4,4,0,4,5,10,4,5,25,100%,50%,0.718
Kantonspolizei Zürich sucht Nachwuchs: Übernehmen Sie meinen Job!,10,11,150,,11,0.002,1.609,7,21,682,2,3,10,7,3,14,29%,30%,0.719
Kilchberg - Tauchunfall mit Todesfolge,10,10,135,,10,0.005,1.486,5,5,0,5,6,10,5,6,14,100%,60%,0.434
Kontaktanfrage Kinder- und Jugendinstruktion,10,19,4040,,18,0.003,1.459,1,4,952,0,2,10,1,2,213,0%,20%,0.641
Obfelden: Motorradfahrer bei Verkehrsunfall schwer verletzt - Zeugenaufruf,10,11,1780,,10,0.003,1.684,2,2,0,2,3,10,2,3,162,100%,30%,0.526
Rafz: Vermisstmeldung,10,10,2009,1,9,0.004,1.635,1,1,0,1,2,10,1,2,201,100%,20%,0.59
Suche,10,14,1917,6,14,0.01,2.649,,,,,1,10,,1,137,0%,10%,0.925
Urdorf: Chemieunfall in Gewerbegebäude,10,10,979,,10,0.032,5.363,7,10,917,5,6,10,7,6,98,71%,60%,1.264
Vorgehen gegen Häusliche Gewalt,10,11,187,,10,0.004,1.439,3,3,0,3,7,10,3,7,17,100%,70%,0.483
Winterthur: Fünf Verhaftungen bei Clubkontrolle,10,10,116,,10,0.037,2.078,1,1,0,1,5,10,1,5,12,100%,50%,0.89
Zürich/Dübendorf: Die Verkehrsabteilung der Kantonspolizei Zürich zieht um,10,11,292,,11,0.001,1.279,7,31,546,4,5,10,7,5,27,57%,50%,0.248
Ablenkung im Strassenverkehr,9,15,138,,15,0.001,0.776,1,3,48,0,1,9,1,1,9,0%,11%,0.187
Aufgaben der Sicherheitspolizei,9,10,954,,10,0.002,1.627,6,20,2927,3,4,9,6,4,95,50%,44%,0.615
Bestätigung Akteneinsicht,9,9,1422,2,8,0.002,1.168,1,1,0,1,4,9,1,4,158,100%,44%,0.622
Dägerlen: Verkehrsunfall fordert einen Toten - Zeugenaufruf,9,9,223,,9,0.523,2.119,8,9,218,7,7,6,5,4,25,88%,78%,1.146
Egg: Verletzte Lenkerin bei Verkehrsunfall - Zeugenaufruf,9,10,1151,,10,0.051,1.17,9,22,1336,7,7,9,9,7,115,78%,78%,0.548
Hettlingen: Frontalkollision fordert zwei Verletzte - Zeugenaufruf,9,12,263,,12,0.007,1.726,2,3,89,1,2,9,2,2,22,50%,22%,0.548
Kontaktanfrage Sicherheitspolizei,9,9,575,,8,0.018,1.864,,,,,1,9,,1,64,0%,11%,0.964
Richterswil: Toter Mann aufgefunden,9,9,205,,9,0.003,1.383,,,,,1,9,,1,23,0%,11%,0.681
Telefonbetrug: Kantonspolizei Zürich lanciert neue Kampagne,9,10,736,,10,0.003,1.038,7,25,873,4,6,9,7,6,74,57%,67%,0.268
Tötungsdelikt in Zürich-West vom 20. März 2010 – Zeugenaufruf,9,12,754,,12,0.002,1.626,,,,,1,9,,1,63,0%,11%,0.411
Winterthur: Tötungsversuch - Zeugenaufruf,9,9,382,,9,0.003,1.485,1,1,0,1,1,9,1,1,42,100%,11%,0.717
A3 Thalwil: Motorradfahrer bei Selbstunfall schwer verletzt,8,9,640,,9,0.003,1.78,4,4,0,4,5,8,4,5,71,100%,63%,0.692
E-Bike im Griff?,8,9,1254,2,8,0.001,0.815,7,12,1236,3,6,7,6,5,139,43%,75%,0.284
Fehraltorf: Frau nach Verkehrsunfall verstorben,8,8,109,,8,0.001,1.515,3,3,0,3,3,8,3,3,14,100%,38%,0.761
Kilchberg: Vermisste Anne Christine Ehl tot aufgefunden,8,10,182,,9,0.006,5.87,8,11,198,6,8,8,8,8,18,75%,100%,1.115
Korpsübergreifende Erneuerung der Uniform - Tragversuch,8,18,612,,12,0.001,1.321,6,29,513,2,6,8,6,6,34,33%,75%,0.29
Thalheim: Lebensmittelladen überfallen - Zeugenaufruf,8,9,193,,9,0.002,1.646,,,,,,8,,,21,0%,0%,0.604
Tipps, damit es Taschendiebe schwer haben,8,9,721,,8,0.001,1.184,,,,,2,8,,2,80,0%,25%,0.48
Zürich: Verletzte nach Auseinandersetzung - Nachtrag - Zeugenaufruf,8,10,619,,10,0.001,1.147,2,7,2095,0,2,8,2,2,62,0%,25%,0.303
Adlikon: Sachschaden bei Brand in Tiefgarage,7,7,58,,6,0.009,1.271,3,3,0,3,3,7,3,3,8,100%,43%,0.415
Alkohol/Drogen,7,9,520,,9,0.003,1.632,2,2,0,2,3,7,2,3,58,100%,43%,0.492
Dielsdorf: Vermisstmeldung - revoziert,7,7,85,,7,0.024,1.875,7,10,157,6,6,7,7,6,12,86%,86%,0.778
Gewalt,7,8,200,,6,0.001,7.664,,,,,,7,,,25,0%,0%,1.564
Im Dialog mit der Kantonspolizei Zürich via Messenger,7,7,111,,7,0.054,1.092,5,10,441,3,4,6,5,4,16,60%,57%,0.519
Keine Ablenkung,7,8,258,,8,0.024,0.807,2,2,0,2,3,6,1,2,32,100%,43%,0.307
Kt. Zürich/St. Gallen: Interkantonale Grosskontrolle durchgeführt,7,7,124,,7,0.003,1.577,1,1,0,1,2,7,1,2,18,100%,29%,0.838
Küsnacht: Blindgänger gefunden,7,7,408,,6,0.006,1.44,3,3,0,3,3,7,3,3,58,100%,43%,0.576
Küsnacht: Mit übersetzter Geschwindigkeit von Strasse abgekommen - Zeugenaufruf,7,7,0,,7,0.101,1.856,7,7,0,7,7,7,7,7,0,100%,100%,1.202
Sicher auf dem See stehen,7,10,762,,10,0.006,49.362,2,3,586,1,4,7,2,4,76,50%,57%,6.793
Stäfa: Raub auf Tankstellenshop - Zeugenaufruf,7,8,85,,8,0.003,1.472,,,,,1,7,,1,11,0%,14%,0.559
Thalwil: Nachtrag - Schwerstverletzter Radfahrer - Zeugenaufruf,7,7,0,,7,0.071,1.169,5,5,0,5,7,7,5,7,0,100%,100%,0.731
Uitikon: Kran gekippt,7,11,1870,,10,0.007,1.685,7,12,1872,5,7,6,6,6,170,71%,100%,0.838
Verdacht – RUF AN – Polizeinotruf 117,7,7,48,,6,0.068,1.145,5,5,0,5,6,7,5,6,7,100%,86%,0.731
Vereidigung der Polizeischule 2/2011 der Kantonspolizei Zürich,7,13,272,,10,0.002,1.592,4,36,2345,2,4,7,4,4,21,50%,57%,0.314
Vorsicht im Umgang mit Kryptowährungen,7,7,777,,7,0.003,2.888,1,1,0,1,3,7,1,3,111,100%,43%,0.54
Winterthur: Polizei sucht Bankräuber und setzt Belohnung aus – Zeugenaufruf,7,7,122,,7,0.063,1.962,1,1,0,1,3,7,1,3,17,100%,43%,0.998
Zürich: Tötungsdelikt - Nachtrag,7,7,238,,6,0.003,1.449,,,,,,7,,,34,0%,0%,0.924
Ausnahmetransportbegleitung neu organisiert,6,7,67,,7,0.001,2.648,5,19,3240,1,2,6,5,2,10,20%,33%,0.848
Beim Befahren von Autobahnbaustellen ist Aufmerksamkeit gefragt,6,8,1089,,8,0.003,1.274,6,8,1090,5,6,6,6,6,136,83%,100%,0.387
Besuchen Sie unseren Kapo-Stand – zum Beispiel an der ZOM,6,6,135,1,6,0.002,1.455,,,,,2,6,,2,23,0%,33%,0.572
Dietikon: Motorradfahrer bei Unfall schwer verletzt - Zeugenaufruf,6,7,97,,6,0.009,2.015,2,4,84,1,3,6,2,3,14,50%,50%,0.863
Dietikon: Vermisstmeldung - Revokation,6,6,30,,6,0.511,1.719,2,3,7,1,3,6,2,3,5,50%,50%,1.086
Dietlikon: Verkehrsunfall fordert 2 Verletzte - Zeugenaufruf,6,6,47,,6,0.013,0.739,6,7,48,5,5,6,6,5,8,83%,83%,0.352
Dürnten: Ein Toter bei Verkehrsunfall,6,6,43,,6,0.045,2.703,6,9,59,5,5,6,6,5,7,83%,83%,1.784
Freienstein: Brand in Tiefgarage einer Überbauung,6,6,36,,6,0.039,1.518,5,7,38,3,4,6,5,4,6,60%,67%,0.797
Hausen am Albis: Mann nach Badeunfall verstorben - Zeugenaufruf,6,6,50,,6,0.013,1.043,3,3,0,3,4,6,3,4,8,100%,67%,0.637
Kanton Zürich: Polizeiliche Schwerpunktaktion zum Schulanfang beendet,6,6,452,,6,0.023,1.369,1,1,0,1,2,6,1,2,75,100%,33%,0.664
Laserblendungen,6,7,651,,6,0.001,0.052,1,2,76,0,1,6,1,1,93,0%,17%,0.021
Neftenbach: Brand auf einem Firmengelände,6,6,267,,6,0.007,1.68,2,9,2326,1,2,6,2,2,45,50%,33%,0.596
Niederglatt: Mutmasslicher Drogendealer verhaftet,6,7,807,,7,0.043,1.904,6,7,808,5,6,6,6,6,115,83%,100%,0.789
Oetwil am See: Verkehrsunfall fordert Schwerverletzten - Zeugenaufruf,6,6,0,,6,0.04,1.603,6,6,0,6,6,6,6,6,0,100%,100%,0.861
Opfikon: Brand in Tiefgarage,6,6,155,,5,0.037,1.168,4,9,284,2,3,4,4,2,26,50%,50%,0.662
Ottenbach: Fahrradfahrer nach Selbstunfall verletzt,6,6,23,,6,0.722,1.366,2,2,0,2,3,6,2,3,4,100%,50%,0.849
Richterswil: Junge von Zug erfasst und getötet,6,7,35,,6,0.024,8.97,6,7,36,5,6,6,6,6,5,83%,100%,2.439
Wildberg/Schalchen: Vermisster Mann aufgefunden,6,6,21,,6,0.003,1.004,,,,,1,6,,1,4,0%,17%,0.616
Zürich 11: Raub auf Goldhändler – Zeugenaufruf mit Bilder,6,10,254,,5,0.189,1.793,,,,,1,6,,1,25,0%,17%,1.153
Alle Beiträge 2017,5,6,197,3,5,0.004,4.32,,,,,,5,,,33,0%,0%,1.062
Aufgaben der Verkehrspolizei,5,5,51,,5,0.003,0.673,3,3,0,3,4,5,3,4,10,100%,80%,0.347
Bewährte Sonderkommission,5,6,373,,5,0.004,1.7,5,9,383,3,4,5,5,4,62,60%,80%,0.748
Cantonal police Zurich,5,5,230,,4,0.16,2.197,4,37,1273,2,2,5,4,2,46,50%,40%,0.814
Chef Kommandobereich 2 wird Stabschef der Oberstaatsanwaltschaft,5,6,33,,6,0.023,1.876,5,8,1666,4,4,5,5,4,6,80%,80%,0.522
Einbruchsicheres Zuhause, auch während Ihrer Ferien,5,7,259,,5,0.005,1.385,1,1,0,1,1,5,1,1,37,100%,20%,0.751
Erfahrungen mit dem Instrument der Gefährderansprache,5,5,10,,5,0.003,1.162,4,4,0,4,4,5,4,4,2,100%,80%,0.377
Fahndungsauftrag: Entweichung aus Klinik,5,5,27,,5,0.591,1.593,4,4,0,4,4,4,3,3,5,100%,80%,0.93
Falsche E-Mails mit Absender Kantonspolizei,5,10,538,,8,0.001,1.475,2,15,1367,0,1,5,2,1,54,0%,20%,0.293
Fehraltorf: Angriff auf Fussballanhänger - Zeugenaufruf,5,5,123,,5,0.01,1.167,,,,,1,5,,1,25,0%,20%,0.639
Internetkriminalität,5,9,2141,,9,0.033,0.286,5,10,2144,2,5,5,5,5,238,40%,100%,0.161
Kanton Zürich: Ermittlungsverfahren gegen Einbrecher abgeschlossen,5,6,94,,5,0.003,1.838,1,1,0,1,2,5,1,2,16,100%,40%,0.53
Regensdorf: Brand eines Mehrfamilienhauses,5,8,2430,,8,0.003,0.573,4,8,2433,1,4,4,3,3,304,25%,80%,0.099
Regensdorf: Geschwindigkeitskontrolle - Raser gestoppt,5,6,55,,6,0.007,1.272,3,3,0,3,3,5,3,3,9,100%,60%,0.769
